address,cost,food_type,name
" 13386 Airline Highway Suite A, Gonzales 70737",$$,"['Seafood', ' Southern', ' Cajun']",Philay's Catfish N' More                                     
" 11777 Coursey Blvd, Baton Rouge 70816",$$,"['American', ' Seafood', ' Southern']",Boil & Roux                                     
" 11224 Florida Blvd, Baton Rouge 70815",$,['Vietnamese'],Little Saigon                                     
" 31804 Hwy 16, Denham Springs 70726",$$,"['Seafood', ' Sushi']",Asahi Sushi and Grill                                     
 2070 Silverside Drive 70808,$$,['Seafood'],Heads & Tails Seafood Inc                                     
" 3131 Perkins Road, Baton Rouge 70808",$$,"['American', ' Sandwich', ' Vegetarian']",Street Breads                                     
" 3347 Nicholson Drive, Baton Rouge 70802",$$,"['BBQ', ' Southern', ' Cajun']",VooDoo BBQ & Grill                                     
 249 Range 12 Boulevard 70726,$$$,['Steak'],LongHorn Steakhouse                                     
" 13438 Magnolia Square Drive, Central 70818",$$$$,"['Seafood', ' Steak', ' Cajun']",Stab's Steak and Seafood                                     
" 3350 Highland Rd, Baton Rouge 70802",$,['Coffee and Tea'],Highland Coffees                                     
" 13180 Coursey Blvd, Baton Rouge 70816",$$,['Mexican'],Casa Lavida                                     
" 8334 Airline Hwy, Baton Rouge 70815",$$,['Mexican'],El Rio Grande                                     
" 7248 Perkins Rd Ste A, Baton Rouge 70810",$$,['Tapas'],Olive or Twist                                     
" 15380 George O'Neal, Baton Rouge 70817",$$,['Indian'],Al-Noor                                     
" 12451 Jefferson Hwy, Baton Rouge 70816",$,['American'],Tramonte's Meat & Seafood                                     
" 760 Hwy 415, Port Allen 70767",$,"['BBQ', ' Sandwich', ' Cajun']",Bergeron's Boudin and Cajun Meats                                     
" 12740 Florida Boulevard, Baton Rouge 70815",$$,"['Seafood', ' Cajun']",Randy Montalbano's Seafood and Catering                                     
" 4245 Nicholson Dr, Baton Rouge 70808",$,"['Coffee and Tea', ' Bakery']",The Kolache Kitchen                                     
" 13213 Perkins Rd, Baton Rouge 70810",$,['Latin American'],La Reyna Latin Restaurant                                     
" 124 W Main St, New Roads 70760",$$$,"['Southern', ' Cajun']",Ma Mama's Kitchen                                     
" 12385 Florida Boulevard, Baton Rouge 70815",$$,['Vietnamese'],Dang's Restaurant                                     
" 3482 Drusilla Ln, Baton Rouge 70809",$$$,['Seafood'],Drusilla Seafood                                     
" 10330 Airline Hwy Ste B5, Baton Rouge 70816",$$,"['Italian', ' Pizza', ' Sandwich']",Isabella's Pizzeria                                     
" 3260 Highland Rd. Suite #4, Baton Rouge 70802",$,"['Sandwich', ' Beverages', ' Vegetarian']",The Pita Pit                                     
" 8046 Florida Blvd, Baton Rouge 70806",$,['Desserts'],Baum's Fine Pastries                                     
 2158 Oneal Lane 70816,$,"['American', ' Seafood', ' Cajun']",Rice & Roux                                     
" 1857 Government St, Baton Rouge 70802",$,['Sandwich'],Yvette Marie's Cafe                                     
" 8233 Bluebonnet Boulevard, Baton Rouge 70810",Unknown,"['Southern', ' Seafood']",Roux 61                                     
" 11806 Coursey Blvd, Baton Rouge 70816",$,"['Sandwich', ' Cajun']",New Orleans Poboy & Gyros                                     
 5229 Highland Road 70808,$,['Japanese'],Waka House                                     
" 4520 S Sherwood Forest Boulevard, Baton Rouge 70816",$$,"['Asian', ' Chinese', ' Sushi']",Oriental Pearl                                     
" 240 Range 12 Blvd, Denham Springs 70726",$$,['Mediterranean'],Cafe Phoenicia                                     
" 243 Florida Ave SE, Denham Springs 70726",$$,"['Burger', ' Sandwich', ' Seafood']",Denham Patty                                     
" 5713 Essen Lane Ste B, Baton Rouge 70810",$$$,"['Greek', ' Mediterranean']",Zorbas Greek Bistro                                     
" 6401 Bluebonnet Blvd, Baton Rouge 70809",$$,['American'],Bj Brewhouse                                     
" 14111 Airline Hwy., Suite 118, Baton Rouge 70817",$,"['Latin American', ' Mexican']",Mr. Taco                                     
" 37460 Ultima Plaza Blvd, Prairieville 70769",$$,['Mexican'],Mi Padres                                     
" 1210 N Airline Hwy, Gonzales 70737",$$,['Mexican'],Casa Maria Mexican Restaurant                                     
" 6401 Bluebonnet Blvd., Baton Rouge 70809",$,Unknown,Cupcake Couture                                     
" 4611 S Sherwood Forest Blvd, Baton Rouge 70816",$$,"['Chinese', ' Japanese', ' Sushi']",Tiger Sushi                                     
" 141 Aspen Sqaure, Denham Springs 70726",$$,"['Japanese', ' Steak', ' Sushi']",Sakura Sushi and Steak House                                     
" 6555 Siegen Lane, Baton Rouge 70809",$$,"['Burger', ' Ice Cream']",Mooyah                                     
" 108 E Main St, New Roads 70760",$$$,"['American', ' Seafood', ' Southern']",Satterfield's Restaurant                                     
" 623 E Boyd Dr, Baton Rouge 70808",$$,"['American', ' Greek', ' International']",Almaza All American Food                                     
" 18135 E. Petroleum Drive Suite H, Baton Rouge 70809",$,['Coffee and Tea'],Rue Beignet                                     
" 315 N Blvd, Baton Rouge 70802",Unknown,"['Seafood', ' Bar Food']",Jolie Pearl Oyster Bar                                     
" 1072 W Lee Dr, Baton Rouge 70820",$$,['Mexican'],Caliente Mexican Craving                                     
" 14350 Wax Road, Baton Rouge 70818",$$,Unknown,Central Buffet                                     
" 3358 Drusilla Ln, Baton Rouge 70809",$,"['Sandwich', ' Seafood']",Rocco's PoBoys                                     
" 5647 Main St, Zachary 70791",$$,"['Greek', ' Mediterranean']",Cafe Phoenicia                                     
 175 Bass Pro Boulevard 70726,$$,"['American', ' Seafood']",Islamorada Fish Company                                     
" 14455 Wax Rd, Baton Rouge 70818",$$,['Mexican'],Caliente Mexican Craving                                     
